"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 12 17:49:36 CST 2022","Tue Jul 12 17:49:38 CST 2022","2106","cases","test_01_login","TestLogin","","","01用例-用户正常登录","01-管理员登录用例"
"passed","Tue Jul 12 17:49:54 CST 2022","Tue Jul 12 17:49:55 CST 2022","864","cases","test_02_user","TestUserManagement","","","04-删除用户","04-删除用户用例"
"passed","Tue Jul 12 17:49:48 CST 2022","Tue Jul 12 17:49:51 CST 2022","3254","cases","test_02_user","TestUserManagement","","","02-搜索用户","02-搜索用户用例"
"passed","Tue Jul 12 17:50:26 CST 2022","Tue Jul 12 17:50:58 CST 2022","32233","cases","test_03_order","TestOrder","","","02用例-创建订单-总经理审批时撤销-删除订单","02用例-创建订单-搜索订单-总经理审核前撤销-删除订单"
"passed","Tue Jul 12 17:51:53 CST 2022","Tue Jul 12 17:51:56 CST 2022","2564","cases","test_03_order","TestOrder","","","05用例-删除订单-合同编号为['001234567812348']","
        05用例-搜索订单-删除订单
        "
"passed","Tue Jul 12 17:51:50 CST 2022","Tue Jul 12 17:51:53 CST 2022","3115","cases","test_03_order","TestOrder","","","05用例-删除订单-合同编号为['001234567812345']","
        05用例-搜索订单-删除订单
        "
"passed","Tue Jul 12 17:49:38 CST 2022","Tue Jul 12 17:49:48 CST 2022","9779","cases","test_02_user","TestUserManagement","","","01-添加用户","01-新增用户用例"
"passed","Tue Jul 12 17:51:31 CST 2022","Tue Jul 12 17:51:50 CST 2022","18934","cases","test_03_order","TestOrder","","","04用例-升级订单","04用例-搜索订单-升级订单-搜索订单-审核订单"
"passed","Tue Jul 12 17:49:51 CST 2022","Tue Jul 12 17:49:54 CST 2022","3188","cases","test_02_user","TestUserManagement","","","03-编辑用户","03-编辑用户用例"
"passed","Tue Jul 12 17:49:56 CST 2022","Tue Jul 12 17:50:26 CST 2022","29513","cases","test_03_order","TestOrder","","","01用例-创建订单-财务审批前撤销-删除订单","01用例-创建订单-搜索订单-财务审批前撤销-删除订单"
"passed","Tue Jul 12 17:50:58 CST 2022","Tue Jul 12 17:51:31 CST 2022","32903","cases","test_03_order","TestOrder","","","03用例-创建订单-正常订单流程","03用例-创建订单-搜索订单-财务审核通过-总经理审核通过-实时部署"
